Chapter,Entry,English Meaning,Pinyin,Simplified characters,Traditional characters,Comment
6,770,earring,ěrhuán,耳环,耳環,
6,780,"headband, headdress",tóudài,头带,頭帶,headband
6,780,"headband, headdress",tóushì,头饰,頭飾,headdress
6,790,tattoo,wénshēn,纹身,紋身,
6,810,"handkerchief, rag",shǒupà,手帕,手帕,
6,820,towel,máojīn,毛巾,毛巾,
6,910,comb,shūzi,梳子,梳子,
6,920,brush,shuāzi,刷子,刷子,
6,921,braid,biànzi,辫子,辮子,
6,930,razor,tìdāo,剃刀,剃刀,
6,940,ointment,yàogāo,药膏,藥膏,
6,950,soap,féizào,肥皂,肥皂,
6,960,mirror,jìngzi,镜子,鏡子,
7,110,"dwell, live",zhù,住,住,
7,120,house,fángzi,房子,房子,
7,130,hut,xiǎowū,小屋,小屋,
7,131,garden-house,huāyuán yángfáng,花园洋房,花園洋房,
7,140,tent,zhàngpeng,帐篷,帳篷,
7,150,"yard, court",tíngyuàn,庭院,庭院,
7,160,men's house,nánzǐ zhuānyòng chǎngsuǒ,男子专用场所,男子專用場所,
7,170,cookhouse,huǒfáng,伙房,伙房,
7,180,meeting house,huìyì shì,会议室,會議室,
7,210,room,fángjiān,房间,房間,
7,220,"door, gate",mén,门,門,
7,221,"doorpost, jamb",ménzhù,门柱,門柱,
7,230,lock (noun),suǒ,锁,鎖,
7,231,"latch, door-bolt",ménshuān,门闩,門閂,
7,240,key,yàoshi,钥匙,鑰匙,
7,250,window,chuānghu,窗户,窗戶,
7,260,floor,dìbǎn,地板,地板,
7,270,wall,qiáng,墙,牆,
7,310,fireplace,bìlú,壁炉,壁爐,
7,320,stove,lúzi,炉子,爐子,
7,330,chimney,yāncōng,烟囱,煙囪,
7,370,ladder,tīzi,梯子,梯子,
7,420,bed,chuáng,床,床,
7,421,pillow,zhěntou,枕头,枕頭,
7,422,blanket,tǎnzi,毯子,毯子,
7,430,chair,yǐzi,椅子,椅子,
7,440,table,zhuōzi,桌子,桌子,
7,450,"lamp, torch",dēng,灯,燈,lamp
7,450,"lamp, torch",huǒbǎ,火把,火把,"torch, firebrand"
7,460,candle,làzhú,蜡烛,蠟燭,
7,470,shelf,jiàzi,架子,架子,
7,480,trough,shuǐcáo,水槽,水槽,
7,510,roof,wūdǐng,屋顶,屋頂,
7,520,thatch,máocǎo wūdǐng,茅草屋顶,茅草屋頂,
7,530,ridgepole,héngliáng,横梁,橫梁,
7,540,rafter,chuán,椽,椽,
7,550,beam,liáng,梁,梁,
7,560,"post, pole",zhù,柱,柱,
7,570,board,mùbǎn,木板,木板,
7,580,arch,gǒng,拱,拱,
7,610,mason,shíjiàng,石匠,石匠,
7,620,brick,zhuān,砖,磚,
7,630,mortar,shājiāng,砂浆,砂漿,
7,640,adobe,niántǔ,黏土,黏土,
8,110,farmer,nóngmín,农民,農民,
8,120,field (for cultivation),tiándì,田地,田地,
8,130,garden,huāyuán,花园,花園,
8,150,"cultivate, till",gēngzuò,耕作,耕作,
8,160,fence,zhàlán,栅栏,柵欄,
8,170,ditch,gōu,沟,溝,
8,210,plow,lí,犁,犁,
8,212,furrow,gōu,沟,溝,
8,220,dig,wājué,挖掘,挖掘,
8,230,spade,qiāo,锹,鍬,
8,240,shovel,tiěchǎn,铁铲,鐵鏟,
8,250,hoe,chútou,锄头,鋤頭,
8,260,fork,chā,叉,叉,
8,270,rake,pá,耙,耙,
8,310,sow,bōzhòng,播种,播種,
8,311,seed,zhǒngzi,种子,種子,
8,320,"mow, reap",gē,割,割,mow
8,320,"mow, reap",shōugē,收割,收割,reap
8,330,"sickle, scythe",liándāo,镰刀,鐮刀,
8,340,thresh,dǎgǔ,打谷,打谷,
8,350,threshing-floor,dǎgǔchǎng,打谷场,打谷場,
8,410,"crop, harvest",shōuchéng,收成,收成,
8,420,"grain (barley, oats etc)",gǔwù,谷物,谷物,
8,430,wheat,xiǎomài,小麦,小麥,
8,440,barley,dàmài,大麦,大麥,
8,450,rye,hēimài,黑麦,黑麥,
8,460,oats,yànmài,燕麦,燕麥,
8,470,"maize, corn",yùmǐ,玉米,玉米,
8,480,rice,shuǐdào,水稻,水稻,plant
8,480,rice,mǐ,米,米,husked
8,480,rice,fàn,饭,飯,cooked
8,510,grass,cǎo,草,草,
8,520,hay,gāncǎo,干草,乾草,
8,530,plant (noun),zhíwù,植物,植物,
8,531,plant (vb),zhòngzhí,种植,種植,
8,540,root,gēn,根,根,
8,550,branch,shùzhī,树枝,樹枝,
8,560,leaf,yèzi,叶子,葉子,
8,570,flower,huā,花,花,
8,600,tree,shù,树,樹,
8,610,oak,lìshù,栎树,栎樹,
8,620,beech,shānmáojǔ,山毛榉,山毛櫸,
8,630,birch,báihuàshù,白桦树,白樺樹,
8,640,pine,sōngshù,松树,松樹,
8,650,fir,lěngshān,冷杉,冷杉,
8,660,acorn,xiàngzi,橡子,橡子,
8,670,vine,téng,藤,藤,
8,680,tobacco,yāncǎo,烟草,煙草,
8,690,smoke (tobacco),xīyān,吸烟,吸煙,
8,691,pipe,yāndǒu,烟斗,煙斗,
8,720,tree stump,shùzhuāng,树桩,樹樁,
8,730,tree trunk,shùgàn,树干,樹幹,
8,740,forked branch,fēnchà shùzhī,分叉树枝,分叉樹枝,
8,750,bark,shùpí,树皮,樹皮,
8,760,sap,yè,液,液,
8,810,palm tree,zōnglǘshù,棕榈树,棕櫚樹,
8,820,coconut,yēzi,椰子,椰子,
8,830,citrus fruit,gānjú,柑橘,柑橘,
8,840,banana tree,xiāngjiāoshù,香蕉树,香蕉樹,
8,850,banyan,róngshù,榕树,榕樹,
8,910,sweet potato,hóngshǔ,红薯,紅薯,
8,912,yam,gānshǔ,甘薯,甘薯,
8,920,"tapioca, manioc, cassava",mùshǔ,木薯,木薯,
8,930,gourd,húlu,葫芦,葫蘆,
8,931,"pumpkin, squash",nánguā,南瓜,南瓜,
8,940,bamboo,zhúzi,竹子,竹子,
8,941,sugar cane,gānzhe,甘蔗,甘蔗,
8,960,fish poison (root),yúdú,鱼毒,魚毒,
8,970,nettle,xúnmá,荨麻,蕁麻,
8,980,mushroom,mógu,蘑菇,蘑菇,
9,110,"do, make",zuò,做,做,
9,120,work,gōngzuò,工作,工作,
9,140,bend,wānqū,弯曲,彎曲,
9,150,fold,zhédié,折叠,摺疊,
9,160,"tie, bind",kǔn,捆,捆,
9,161,untie,jiě kāi,解开,解開,
9,180,chain,liàntiáo,链条,鏈條,
9,190,"rope, cord",shéngzi,绳子,繩子,
9,192,knot (noun),jié,结,結,
9,210,"strike (hit, beat)",dǎ,打,打,
9,211,pound with fist,dǎ,打,打,
9,220,cut,qiē,切,切,slice
9,220,cut,gē,割,割,sever
9,221,cut down,kǎn dǎo,砍倒,砍倒,
9,222,"chop, hew",kǎn,砍,砍,
9,223,stab,cì,刺,刺,
9,223,stab,zhā,扎,扎,
9,230,knife,dāo,刀,刀,
9,240,"scissors, shears",jiǎndāo,剪刀,剪刀,
9,250,ax,fǔ,斧,斧,
9,251,adze,bēnzi,锛子,錛子,
9,260,break,dǎ pò,打破,打破,shatter
9,260,break,nòng duàn,弄断,弄斷,snap
9,261,broken,pòsuì,破碎,破碎,shattered
9,261,broken,zhé duàn,折断,折斷,snapped
9,270,split,qiē kāi,切开,切開,soft material
9,280,tear,sī,撕,撕,
9,290,"flay, skin",bō pí,剥皮,剝皮,
9,310,"rub, wipe",cā,擦,擦,
9,320,stretch,chēng dà,撑大,撐大,
9,330,pull,lā,拉,拉,
9,340,spread out,sàn kāi,散开,散開,
9,341,hang up,guà qǐ,挂起,掛起,
9,342,press,àn,按,按,
9,343,"squeeze, wring",jǐ,挤,擠,squeeze
9,343,"squeeze, wring",nǐng,拧,擰,wring
9,350,pour,dào,倒,倒,
9,360,wash,xǐ,洗,洗,
9,370,sweep,sǎo,扫,掃,
9,380,broom,sàozhou,扫帚,掃帚,
9,422,tool,gōngjù,工具,工具,
9,430,carpenter,mùjiàng,木匠,木匠,
9,440,build,jiànzào,建造,建造,
9,460,bore,zuān kǒng,钻孔,鑽孔,
9,461,hollow out,wā kōng,挖空,挖空,
9,480,saw,jù,锯,鋸,
9,490,hammer,chuízi,锤子,錘子,
9,500,nail,dīngzi,钉子,釘子,
9,560,glue,jiāoshuǐ,胶水,膠水,
9,600,"smith, blacksmith",tiějiàng,铁匠,鐵匠,
9,610,forge,duànzào,锻造,鍛造,
9,620,anvil,tiězhēn,铁砧,鐵砧,
9,630,cast (metals),jiāozhù,浇铸,澆鑄,
9,640,gold,jīn,金,金,
9,650,silver,yín,银,銀,
9,660,"copper, bronze",tóng,铜,銅,copper
9,660,"copper, bronze",qīngtóng,青铜,青銅,bronze
9,670,iron,tiě,铁,鐵,
9,680,lead (noun),qiān,铅,鉛,
9,690,"tin, tinplate",xī,锡,錫,
9,710,potter,táogōng,陶工,陶工,
9,720,mold (clay etc),mújù,模具,模具,
9,730,clay,táotǔ,陶土,陶土,
9,740,glass,bōli,玻璃,玻璃,
9,750,"weave, plait",zhī,织,織,"weave, knit"
9,750,"weave, plait",biān,编,編,plait
9,760,basket,lánzi,篮子,籃子,
9,770,mat,diànzi,垫子,墊子,
9,771,rug,xiǎo dìtǎn,小地毯,小地毯,
9,780,netbag,wǎngdōu,网兜,網兜,
9,790,fan (noun),shànzi,扇子,扇子,
9,791,fan (vb),shān fēng,扇风,扇風,
9,810,carve,diāokè,雕刻,雕刻,
9,820,sculptor,diāokèjiā,雕刻家,雕刻家,
9,830,statue,diāoxiàng,雕像,雕像,
9,840,chisel,záozi,凿子,鑿子,
9,880,paint (noun),yánliào,颜料,顏料,for art
9,880,paint (noun),yóuqī,油漆,油漆,for building
9,890,paint (vb),huìhuà,绘画,繪畫,for art
9,890,paint (vb),shuā yóuqī,刷油漆,刷油漆,for building
10,110,move,yídòng,移动,移動,
10,120,turn over,fān shēn,翻身,翻身,
10,130,turn around,zhuǎn shēn,转身,轉身,
10,140,"wind, wrap",chánrào,缠绕,纏繞,
10,150,roll,gǔndòng,滚动,滾動,
10,160,drop (vb),diào,掉,掉,
10,170,twist,zhuàndòng,转动,轉動,
10,210,rise,shàngshēng,上升,上升,
10,220,"raise, lift",tái qǐ,抬起,擡起,
10,230,fall,luò xià,落下,落下,
10,240,drip,dī xià,滴下,滴下,
10,250,throw,tóu,投,投,at target
10,250,throw,rēng,扔,扔,without target
10,252,catch (ball),jiē zhù,接住,接住,
10,260,shake,yáo dòng,摇动,搖動,
10,320,flow,liúdòng,流动,流動,
10,330,sink,xiàchén,下沉,下沈,
10,340,float,fú,浮,浮,
10,350,swim,yóu yǒng,游泳,游泳,
10,351,dive,qián shuǐ,潜水,潛水,
10,352,splash,jiàn qǐ,溅起,濺起,
10,360,sail (vb),hángxíng,航行,航行,
10,370,fly (vb),fēi,飞,飛,
10,380,blow,chuī,吹,吹,
10,410,"creep, crawl",pá,爬,爬,
10,412,kneel,guì,跪,跪,
10,413,crouch,dūn,蹲,蹲,
10,420,"slide, slip",huá dòng,滑动,滑動,
10,430,"jump, leap",tiào,跳,跳,
10,431,kick,tī,踢,踢,
10,440,dance,tiào wǔ,跳舞,跳舞,
10,450,walk,zǒu lù,走路,走路,
10,451,limp,bǒxíng,跛行,跛行,
10,460,run,pǎo,跑,跑,
10,470,go,qù,去,去,
10,471,go up,shàng qù,上去,上去,
10,472,climb,pāndēng,攀登,攀登,
10,473,go down,xià qù,下去,下去,
10,474,go out,chū qù,出去,出去,
10,480,come,lái,来,來,
10,481,come back,huí lái,回来,回來,
10,490,"go away, depart",lí kāi,离开,離開,
10,491,disappear,xiāoshī,消失,消失,
10,510,flee,táolí,逃离,逃離,
10,520,follow,gēnsuí,跟随,跟隨,
10,530,pursue,zhuīzhú,追逐,追逐,
10,550,"reach, arrive",dàodá,到达,到達,
10,560,approach,jiējìn,接近,接近,
10,570,enter,jìnrù,进入,進入,
10,610,carry (bear),xiédài,携带,攜帶,
10,612,carry-in-hand,ná,拿,拿,
10,613,carry-on-shoulder,káng,扛,扛,
10,614,carry-on-head,dǐng,顶,頂,
10,615,carry-underarm,jiā,夹,夾,
10,620,bring,dài,带,帶,
10,630,send,sòng,送,送,
10,640,lead (vb),dàilù,带路,帶路,
10,650,drive,jiàshǐ,驾驶,駕駛,
10,660,ride,qí,骑,騎,
10,670,"push, shove",tuī,推,推,
10,710,road,dàolù,道路,道路,
10,720,path,jìng,径,徑,
10,740,bridge,qiáo,桥,橋,
10,750,"carriage, wagon, cart",mǎchē,马车,馬車,
10,760,wheel,lúnzi,轮子,輪子,
10,770,axle,chēzhóu,车轴,車軸,
10,780,yoke,è,轭,軛,
10,810,ship,lúnchuán,轮船,輪船,
10,830,boat,xiǎochuán,小船,小船,
10,831,canoe,dúmùzhōu,独木舟,獨木舟,
10,832,outrigger,xián wài tuōjià,舷外托架,舷外托架,
10,840,raft,fá,筏,筏,
10,850,oar,jiǎng,桨,槳,
10,851,paddle (noun),duǎnjiǎng,短桨,短槳,
10,852,row (vb),huáchuán,划船,划船,
10,860,rudder,duò,舵,舵,
10,870,mast,wéigān,桅杆,桅杆,
10,880,sail (noun),fān,帆,帆,
10,890,anchor,máo,锚,錨,
10,910,"harbor, port",gǎngkǒu,港口,港口,
10,920,land (vb),zhuólù,着陆,着陆,
11,110,have,yǒu,有,有,
11,120,"own, possess",yōngyǒu,拥有,擁有,
11,130,take,ná,拿,拿,
11,140,"seize, grasp",zhuā zhù,抓住,抓住,
11,150,hold,wòzhe,握着,握著,
11,160,"get, obtain",huòdé,获得,獲得,
11,170,"keep, retain",bǎochí,保持,保持,
11,180,thing,shìqing,事情,事情,abstract
11,180,thing,dōngxi,东西,東西,concrete
11,210,give,gěi,给,給,
11,220,give back,guīhuán,归还,歸還,
11,240,"preserve, look after",bǎohù,保护,保護,preserve
11,240,"preserve, look after",kānhù,看护,看護,look after
11,250,"save, rescue",wǎnjiù,挽救,挽救,
11,270,destroy,pòhuài,破坏,破壞,
11,280,"harm, injure, damage",sǔnhài,损害,損害,
11,310,"seek, look for",xúnzhǎo,寻找,尋找,
11,320,find,zhǎo dào,找到,找到,
11,330,lose,shīqù,失去,失去,
11,340,"release, let go",fàng kāi,放开,放開,
11,430,money,qián,钱,錢,
11,440,coin,yìngbì,硬币,硬幣,
11,510,rich,fùyǒu,富有,富有,
11,520,poor,pínqióng,贫穷,貧窮,
11,530,beggar,qǐgài,乞丐,乞丐,
11,540,"avaricious, stingy",lìnsè,吝啬,吝嗇,
11,610,lend,jièchū,借出,借出,
11,620,borrow,jiè,借,借,
11,630,owe,qiàn,欠,欠,
11,640,debt,zhài,债,債,
11,650,pay (vb),fù fèi,付费,付費,
11,660,"account, reckoning",zhànghù,账户,賬戶,bank account
11,660,"account, reckoning",jìsuàn,计算,計算,calculation
11,690,"tax, tribute",shuì,税,稅,
11,770,hire,gùyòng,雇用,雇用,
11,780,wages,gōngzī,工资,工資,
11,790,earn,zhèng,挣,掙,
11,810,buy,mǎi,买,買,
11,820,sell,mài,卖,賣,
11,830,"trade, barter",màoyì,贸易,貿易,
11,840,merchant,shāngrén,商人,商人,
11,850,market (place),shìchǎng,市场,市場,
11,860,"store, shop",shāngdiàn,商店,商店,
11,870,price,jiàgé,价格,價格,
11,880,"dear (costly, expensive)",ángguì,昂贵,昂貴,
11,890,cheap,piányi,便宜,便宜,
11,910,share (distribute),fēnpèi,分配,分配,
11,920,weigh,chēng,称,稱,
11,920,weigh,liáng,量,量,
12,10,after,yǐhòu,以后,以後,
12,11,behind,hòumiàn,后面,後面,
12,20,beside,pángbiān,旁边,旁邊,
12,30,"down, below",xiàmiàn,下面,下面,
12,40,before,qiánmiàn,前面,前面,
12,41,front,qiánmiàn,前面,前面,
12,50,"inside, in",lǐmiàn,里面,裡面,
12,60,outside,wàimiàn,外面,外面,
12,70,under,xiàmiàn,下面,下面,
12,80,"up, above",shàngmiàn,上面,上面,
12,110,place,dìfang,地方,地方,
12,120,put,fàng,放,放,
12,130,sit,zuò,坐,坐,
12,140,lie down,tǎng,躺,躺,
12,150,stand,zhàn,站,站,
12,160,"remain, stay",bǎochí,保持,保持,
12,170,"remains, left overs",shèngyúwù,剩余物,剩餘物,
12,210,"collect, gather",shōují,收集,收集,
12,212,pick up,jiǎn qǐ,捡起,撿起,
12,213,pile up,duījī,堆积,堆積,
12,220,"join, unite",liánjiē,连接,連接,join
12,220,"join, unite",liánhé,联合,聯合,unite
12,230,separate,fēn kāi,分开,分開,
12,232,divide,fēn,分,分,
12,240,open,dǎ kāi,打开,打開,
12,250,"shut, close",guānbì,关闭,關閉,
12,260,cover,zhēgài,遮盖,遮蓋,
12,270,"hide, conceal",yǐncáng,隐藏,隱藏,
12,310,high,gāo,高,高,
12,320,low,dī,低,低,
12,330,top,dǐngbù,顶部,頂部,
12,340,bottom,dǐbù,底部,底部,
12,350,end,mòwěi,末尾,末尾,
12,352,pointed,jiān,尖,尖,
12,353,edge,biānyuán,边缘,邊緣,
12,360,side,miàn,面,面,
12,360,side,biān,边,邊,
12,370,"middle, center",zhōngjiān,中间,中間,
12,410,right (side),yòu,右,右,
12,420,left (side),zuǒ,左,左,
12,430,near (adv),fùjìn,附近,附近,
12,440,far (adv),yuǎn,远,遠,
12,450,east,dōng,东,東,
12,460,west,xī,西,西,
12,470,north,běi,北,北,
12,480,south,nán,南,南,
12,530,grow,shēngzhǎng,生长,生長,
12,540,measure,cèliáng,测量,測量,
12,541,"span, fathom",kuāndù,宽度,寬度,span
12,541,"span, fathom",yīngxún,英寻,英尋,fathom
12,550,"large, big",dà,大,大,
12,560,"small, little",xiǎo,小,小,
12,570,long,cháng,长,長,
12,580,tall,gāo,高,高,
12,590,short,duǎn,短,短,
12,610,"wide, broad",kuān,宽,寬,
12,620,narrow,zhǎi,窄,窄,
12,630,thick (in dimension),hòu,厚,厚,
12,650,thin (in dimension),báo,薄,薄,
12,670,deep,shēn,深,深,
12,680,shallow,qiǎn,浅,淺,
12,710,flat,píng,平,平,
12,730,straight,zhí,直,直,
12,740,crooked,wānqū,弯曲,彎曲,
12,750,hook,guàgōu,挂钩,掛鉤,
12,760,corner,jiǎo,角,角,
12,770,cross,shízì,十字,十字,
12,780,square,zhèngfāngxíng,正方形,正方形,
12,810,round,yuánxíng,圆形,圓形,
12,820,circle,yuán,圆,圓,
12,830,"sphere, ball",qiútǐ,球体,球體,
12,840,line,xiàn,线,線,
12,850,hole,dòng,洞,洞,
12,920,"like, similar",xiāngxiàng,相像,相像,colloquial
12,920,"like, similar",xiāngsì,相似,相似,literary
12,930,change,gǎibiàn,改变,改變,
13,0,"zero, nothing",líng,零,零,
13,10,one,yī,一,一,
13,20,two,èr,二,二,
13,30,three,sān,三,三,
13,40,four,sì,四,四,
13,50,five,wǔ,五,五,
13,60,six,liù,六,六,
13,70,seven,qī,七,七,
13,80,eight,bā,八,八,
13,90,nine,jiǔ,九,九,
13,100,ten,shí,十,十,
13,101,eleven,shíyī,十一,十一,
13,102,twelve,shí'èr,十二,十二,
13,103,fifteen,shíwǔ,十五,十五,
13,104,twenty,èrshí,二十,二十,
13,105,hundred,yìbǎi,一百,一百,
13,106,thousand,yìqiān,一千,一千,
13,107,count,shǔshù,数数,數數,
13,140,"every, all",quánbù,全部,全部,
13,150,"much, many",xǔduō,许多,許多,
13,160,more,gèngduō,更多,更多,
13,170,"little (quantity), few",shǎo,少,少,
13,180,enough,zúgòu,足够,足夠,
13,181,some,yìxiē,一些,一些,
13,190,"multitude, crowd",yìduī,一堆,一堆,
13,210,full,mǎn,满,滿,
13,220,empty,kōng,空,空,
13,230,"part, piece",bùfen,部分,部分,
13,240,half,yíbàn,一半,一半,
13,330,"alone, only",wéiyī,唯一,唯一,
13,340,first,dìyī,第一,第一,
13,340,first,zuìxiān,最先,最先,
13,350,last,zuìhòu,最后,最後,
13,360,second,dì'èr,第二,第二,
13,370,pair,yìshuāng,一双,一雙,"inanimate objects (shoes, socks, etc)"
13,370,pair,yíduì,一对,一對,"people (e.g. husband and wife, son and daughter, boyfriend and girlfriend); inanimate objects (earrings)"
13,380,two times,liǎngcì,两次,兩次,
13,420,third,dìsān,第三,第三,
13,440,three times,sāncì,三次,三次,
14,110,time,shíjiān,时间,時間,
14,120,age,niánlíng,年龄,年齡,
14,130,new,xīn,新,新,
14,140,young,niánqīng,年轻,年輕,
14,150,old,lǎo,老,老,
14,160,early,zǎo,早,早,
14,170,late,wǎn,晚,晚,
14,180,now,xiànzài,现在,現在,
14,190,immediately,lìkè,立刻,立刻,
14,190,immediately,mǎshàng,马上,馬上,
14,210,"swift, fast, quick",xùnsù,迅速,迅速,
14,210,"swift, fast, quick",kuài,快,快,
14,220,slow,màn,慢,慢,
14,230,"hasten, hurry",jímáng,急忙,急忙,
14,240,"retard, delay",yánwù,延误,延誤,
14,250,"begin, beginning",kāishǐ,开始,開始,
14,252,"last, endure",chíxù,持续,持續,
14,260,end (temporal),jiéshù,结束,結束,
14,270,finish,wánchéng,完成,完成,
14,280,"cease, stop",tíngzhǐ,停止,停止,
14,290,ready,zhǔnbèi hǎo,准备好,準備好,
14,310,always,zǒngshì,总是,總是,
14,320,often,jīngcháng,经常,經常,
14,330,sometimes,yǒushí,有时,有時,
14,331,soon,bùjiǔ,不久,不久,
14,332,long-time (for a),cháng shíjiān,长时间,長時間,
14,340,never,cóngbù,从不,從不,
14,350,again,zài,再,再,future reference
14,350,again,yòu,又,又,past reference
14,410,day,báitiān,白天,白天,versus night
14,410,day,tiān,天,天,period of 24 hours
14,420,night,yèwǎn,夜晚,夜晚,
14,430,dawn,límíng,黎明,黎明,
14,440,morning,zǎochen,早晨,早晨,early morning
14,440,morning,shàngwǔ,上午,上午,late morning
14,450,"noon, midday",zhōngwǔ,中午,中午,
14,451,afternoon,xiàwǔ,下午,下午,
14,460,evening,wǎnshang,晚上,晚上,
14,470,today,jīntiān,今天,今天,
14,480,tomorrow,míngtiān,明天,明天,
14,481,day-after-tomorrow,hòutiān,后天,後天,
14,490,yesterday,zuótiān,昨天,昨天,
14,491,day-before-yesterday,qiántiān,前天,前天,
14,510,hour,xiǎoshí,小时,小時,
14,530,"clock, timepiece",zhōng,钟,鐘,
14,610,week,zhōu,周,周,literary
14,610,week,xīngqī,星期,星期,colloquial
14,620,Sunday,zhōurì,周日,周日,literary
14,620,Sunday,xīngqīrì,星期日,星期日,colloquial
14,630,Monday,zhōuyī,周一,周一,literary
14,630,Monday,xīngqīyī,星期一,星期一,colloquial
14,640,Tuesday,zhōuèr,周二,周二,literary
14,640,Tuesday,xīngqī’èr,星期二,星期二,colloquial
14,650,Wednesday,zhōusān,周三,周三,literary
14,650,Wednesday,xīngqīsān,星期三,星期三,colloquial
14,660,Thursday,zhōusì,周四,周四,literary
14,660,Thursday,xīngqīsì,星期四,星期四,colloquial
14,670,Friday,zhōuwǔ,周五,周五,literary
14,670,Friday,xīngqīwǔ,星期五,星期五,colloquial
14,680,Saturday,zhōuliù,周六,周六,literary
14,680,Saturday,xīngqīliù,星期六,星期六,colloquial
14,710,month,yuè,月,月,
14,730,year,nián,年,年,
14,740,winter,dōngjì,冬季,冬季,literary
14,740,winter,dōngtiān,冬天,冬天,colloquial
14,750,spring,chūnjì,春季,春季,literary
14,750,spring,chūntiān,春天,春天,colloquial
14,760,summer,xiàjì,夏季,夏季,literary
14,760,summer,xiàtiān,夏天,夏天,colloquial
14,770,autumn,qiūjì,秋季,秋季,literary
14,770,autumn,qiūtiān,秋天,秋天,colloquial
14,780,season,jìjié,季节,季節,
15,210,smell (vb intrans),yǒu qìwèi,有气味,有氣味,
15,212,sniff,wén,闻,聞,
15,220,smell (vb trans),wéndào,闻到,聞到,
15,250,"fragrant, good smelling",xiāng,香,香,
15,260,"stinking, bad smelling",chòuwèi,臭味,臭味,
15,310,taste,wèidào,味道,味道,
15,350,sweet,tián,甜,甜,
15,360,salty,xián,咸,鹹,
15,370,bitter,kǔ,苦,苦,
15,380,"acid, sour",suān,酸,酸,
15,390,brackish,wēixián,微咸,微鹹,
15,410,hear,tīng dào,听到,聽到,
15,420,listen,tīng,听,聽,
15,440,"sound, noise",shēngyīn,声音,聲音,
15,450,loud,dàshēng,大声,大聲,
15,460,"quiet, silence",ānjìng,安静,安靜,
15,510,see,kàn jiàn,看见,看見,
15,520,"look, look at",kàn,看,看,
15,550,show,chūshì,出示,出示,
15,560,shine,fāguāng,发光,發光,
15,570,bright,xiānyàn,鲜艳,鮮豔,
15,610,color,yánsè,颜色,顏色,
15,620,light (in color),qiǎnsè,浅色,淺色,
15,630,dark (in color),shēnsè,深色,深色,
15,640,white,bái,白,白,
15,650,black,hēi,黑,黑,
15,660,red,hóng,红,紅,
15,670,blue,lán,蓝,藍,
15,680,green,lǜ,绿,綠,
15,690,yellow,huáng,黄,黃,
15,710,touch,mō,摸,摸,
15,710,touch,pèng,碰,碰,
15,712,pinch,niē,捏,捏,larger area
15,712,pinch,qiā,掐,掐,smaller area
15,720,feel,gǎnjué,感觉,感覺,
15,720,feel,juéde,觉得,覺得,
15,740,hard,jiānyìng,坚硬,堅硬,
15,750,soft,róuruǎn,柔软,柔軟,
15,760,rough,cūcāo,粗糙,粗糙,
15,770,smooth,guānghuá,光滑,光滑,
15,780,sharp,jiān,尖,尖,
15,790,"blunt, dull",dùn,钝,鈍,
15,810,heavy,zhòng,重,重,
15,820,light (in weight),qīng,轻,輕,
15,830,"wet, damp",shī,湿,濕,
15,840,dry,gān,干,乾,
15,850,hot,rè,热,熱,
15,851,warm,wēnnuǎn,温暖,溫暖,
15,860,cold,lěng,冷,冷,
15,870,clean,gānjìng,干净,乾凈,
15,880,"dirty, soiled",zāng,脏,髒,
15,890,wrinkled,yǒu zhòuwén,有皱纹,有皺紋,
16,110,"soul, spirit",línghún,灵魂,靈魂,
16,150,"surprised, astonished",jīngyà,惊讶,驚訝,
16,180,"good fortune, luck",hǎoyùn,好运,好運,
16,190,"misfortune, bad luck",èyùn,厄运,厄運,
16,230,"joyful, glad, happy",xǐyuè,喜悦,喜悅,joyful
16,230,"joyful, glad, happy",gāoxìng,高兴,高興,glad
16,230,"joyful, glad, happy",kuàilè,快乐,快樂,happy
16,250,laugh,xiào,笑,笑,
16,251,smile,wēixiào,微笑,微笑,
16,260,play,wánshuǎ,玩耍,玩耍,
16,270,love,ài,爱,愛,
16,290,kiss,qīnwěn,亲吻,親吻,
16,300,embrace,yōngbào,拥抱,擁抱,
16,310,pain,tòngkǔ,痛苦,痛苦,
16,320,"grief, sorrow, sadness",bēishāng,悲伤,悲傷,
16,330,"anxiety, worry",jiāolǜ,焦虑,焦慮,anxiety
16,330,"anxiety, worry",dānxīn,担心,擔心,worry
16,340,"regret, be sorry",àohuǐ,懊悔,懊悔,
16,350,pity,tóngqíng,同情,同情,
16,370,"cry, weep",kū,哭,哭,
16,380,tear (noun),yǎnlèi,眼泪,眼淚,
16,390,groan,bàoyuàn,抱怨,抱怨,
16,410,hate,yuànhèn,怨恨,怨恨,
16,420,anger,fènnù,愤怒,憤怒,
16,440,"envy, jealousy",jídù,嫉妒,嫉妒,
16,450,shame (noun),xiūkuìgǎn,羞愧感,羞愧感,
16,480,proud,jiāo’ào,骄傲,驕傲,
16,510,dare,gǎn,敢,敢,
16,520,brave,yǒnggǎn,勇敢,勇敢,
16,530,"fear, fright",hàipà,害怕,害怕,
16,540,danger,wēixiǎn,危险,危險,
16,620,"desire, want",kěwàng,渴望,渴望,
16,622,choose,xuǎnzé,选择,選擇,
16,630,hope,xīwàng,希望,希望,
16,650,faithful,zhōngchéng,忠诚,忠誠,
16,660,true,zhēnshí,真实,真實,
16,670,"lie, tell lies",shuō huǎng,说谎,說謊,
16,680,deceit,qīzhà,欺诈,欺詐,
16,690,forgive,yuánliàng,原谅,原諒,
16,710,good,hǎo,好,好,
